id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
7694365,"Stylish Downtown Studio in the SouthEnd, C.Ave# 41",22348222,Maverick,,Area 2/MIT,42.34441,-71.07633,Entire home/apt,267,1,121,2022-06-07,1.66,84,330,7,STR-441251
19149341,Fun Houseboat,3029783,Deborah,,East Cambridge,42.37579,-71.04981,Entire home/apt,298,2,84,2022-04-30,1.40,4,317,25,STR-416892
8082512,"Stylish Downtown Studio in the Boston, C.Ave# 34",22348222,Maverick,,Area 2/MIT,42.34441,-71.07633,Entire home/apt,195,1,131,2022-05-27,1.61,84,333,29,STR-441247
43921666,Spacious 2BR Apt w Balcony in Bostons Chinatown,95459395,Bluebird,,Area 2/MIT,42.352093,-71.060806,Entire home/apt,697,1,0,,,19,321,0,Approved by government
7694559,"Heart of South End, Convenient, Comfy Studio #32",22348222,Maverick,,Area 2/MIT,42.34441,-71.07633,Entire home/apt,203,1,112,2022-03-06,1.74,84,320,16,STR-441256
6759439,South End Studio Perfect for Work Travel #26,22348222,Maverick,,Area 2/MIT,42.34441,-71.07633,Entire home/apt,254,1,67,2022-05-27,1.08,84,343,15,STR-441244
45349044,FOUND Boston Common - Queen Room,365985792,FOUND Hotel,,Area 2/MIT,42.34887,-71.06596,Private room,265,1,413,2022-06-19,19.09,5,311,179,Exempt: This listing is a hotel or motel
51424954,Private Studio in Boston's Bay Village!! 5-1,244600805,Bay Village,,Area 2/MIT,42.34722,-71.07016,Entire home/apt,141,3,9,2022-06-03,0.89,18,113,9,STR-415225
580339876979371264,"Gorgeous Downtown 1BR w/ Gym & W/D, near South...",107434423,Blueground,,Area 2/MIT,42.35228,-71.05911,Entire home/apt,243,32,0,,,324,332,0,
39456474,Ideal North Station 1BR w/ Gym + W/D near North...,107434423,Blueground,,East Cambridge,42.36477,-71.06314,Entire home/apt,259,32,0,,,324,311,0,
48602602,Charming 1BR Flat Downtown Boston | Walk Anywhere,275849638,Steven,,East Cambridge,42.35889,-71.05337,Entire home/apt,255,1,77,2022-06-20,5.54,36,199,64,STR-424133
45349148,FOUND Boston Common - Double Queen Room,365985792,FOUND Hotel,,Area 2/MIT,42.34935,-71.06535,Private room,322,1,321,2022-06-13,14.86,5,292,158,Exempt: This listing is a hotel or motel
25284439,Steps to Boston Common | Bright 1BR | Laundry,163251048,Global Luxury,,Area 2/MIT,42.352093,-71.060806,Entire home/apt,422,1,6,2022-05-23,0.13,10,319,5,Exempt: This listing is a unit that has contracts with hospitals
569408055356408918,"Deluxe Allston 1BR w/ W/D, close to BU &...",107434423,Blueground,,Cambridgeport,42.3527433,-71.12187410000001,Entire home/apt,168,32,0,,,324,316,0,
53472247,"(T4) Bright Studio, Great South End View!",331225367,Stone,,Area 2/MIT,42.34253,-71.07683,Entire home/apt,210,1,23,2022-06-15,7.26,62,272,23,Exempt: This listing is a unit that has contracts with hospitals
32835031,"Boston Studio, Ready For Long & Short Stays 210",205269848,Temple Place,,Area 2/MIT,42.35419,-71.06124,Private room,96,2,63,2022-06-05,1.72,17,21,37,STR439290
580336513335041407,"Deluxe Downtown 1BR w/ Gym & W/D, near South...",107434423,Blueground,,Area 2/MIT,42.35228,-71.05911,Entire home/apt,225,32,0,,,324,296,0,
44060731,Spacious 1 BR | Laundry | WiFi | Full Kitchen |GLS,9419684,Churchill,,Area 2/MIT,42.352093,-71.06081,Entire home/apt,363,1,0,,,19,319,0,Approved by government
42080205,"Airy Downtown 2BR w/ W/D, nr. Boston Common, by...",107434423,Blueground,,Area 2/MIT,42.35221,-71.0639,Entire home/apt,225,32,0,,,324,310,0,
53482062,Sweetest 2 bed home downtown boston beacon hill,373675137,Liya,,East Cambridge,42.35851,-71.06755,Entire home/apt,296,29,1,2022-04-16,0.44,41,305,1,
624541300397031900,Awesome studio in South End with wifi and parking,409684302,Justin And Mandy,,Area 2/MIT,42.34276,-71.07856,Entire home/apt,229,1,1,2022-05-20,0.88,36,364,1,STR-457097
53801849,405 Experience Boston At it’s Finest!,183914990,Edmund,,Area 2/MIT,42.35385,-71.06316,Entire home/apt,142,2,8,2022-04-19,1.68,9,120,8,STR-439290
43715032,SUPERIOR ROOM,243931054,Boston Park Plaza,,Area 2/MIT,42.35064,-71.0705,Hotel room,346,1,214,2022-02-13,8.78,11,260,27,Exempt: This listing is a hotel or motel
49947843,"(140-2) Beautiful Back Bay 2bed, 2bath!",331225367,Stone,,Area 2/MIT,42.35416,-71.07426,Entire home/apt,582,2,52,2022-06-12,3.99,62,27,48,Exempt: This listing is a unit that has contracts with hospitals
43957058,"Modern 1BR Steps from Restaurants, Attractions",95459395,Bluebird,,Area 2/MIT,42.352093,-71.060806,Entire home/apt,422,1,0,,,19,319,0,Approved by government
610406214749678537,Stunning Studio in Downtown Boston,331132678,Premier Suites,,Area 2/MIT,42.35476,-71.06335,Entire home/apt,203,2,0,,,3,119,0,STR-439290
32915410,1 bedroom apartment in South End,247641760,Enia,,Area 2/MIT,42.3366,-71.08442,Entire home/apt,84,91,72,2019-11-30,1.81,4,8,0,
46385021,"Roomy North Station 1BR w/ Gym, W/D, Doorman,...",107434423,Blueground,,East Cambridge,42.36477,-71.06314,Entire home/apt,255,32,0,,,324,275,0,
46984210,Just Perfect Studio For Your Next Stay 406,183914990,Edmund,,Area 2/MIT,42.35402,-71.06134,Entire home/apt,134,2,37,2022-06-03,2.91,9,46,35,Exempt: This listing is a hotel or motel
6908525,"Stylish Studio on Newbury St, THIS IS BOSTON!; #12",22348222,Maverick,,Area 2/MIT,42.34982,-71.08264,Entire home/apt,166,1,214,2022-06-04,2.53,84,312,28,LB-418468
32330936,507 Stylish Studio in the Heart of Boston!,205269848,Temple Place,,Area 2/MIT,42.35388,-71.06296,Entire home/apt,196,29,47,2020-11-12,1.18,17,139,0,STR-390690
46384720,"Lux North Station 1BR w/ Gym, Doorman, W/D, nr....",107434423,Blueground,,East Cambridge,42.364773,-71.063143,Entire home/apt,304,32,0,,,324,70,0,
45347651,FOUND Boston Common - Standard Full Room,365985792,FOUND Hotel,,Area 2/MIT,42.34964,-71.06768,Private room,248,1,315,2022-05-28,14.58,5,310,128,Exempt: This listing is a hotel or motel
8584276,Furnished Back Bay 345,3521413,Elly,,Area 2/MIT,42.34874,-71.08911,Entire home/apt,189,180,10,2021-12-18,0.12,1,228,1,
49313516,♜Luxe Penthouse♜Private Deck♜Laundry♜Ace Loc♜Dogs♜,306990060,Sky,,East Cambridge,42.36049,-71.06857,Entire home/apt,229,32,0,,,1,365,0,
44136170,Luxury Studio | Kitchen | Gym | Washer/D | Boston,9419684,Churchill,,Area 2/MIT,42.352093,-71.06081,Entire home/apt,331,1,3,2022-02-28,0.23,19,365,2,Approved by government
21445137,BEACON HILL STUDIO BY MASS GENERAL HOSPITAL,155595193,Michelle,,East Cambridge,42.36048,-71.06898,Entire home/apt,135,29,1,2018-06-20,0.02,8,300,0,
615178104941546865,Cozy Studio with Great Wifi!,409684302,Justin And Mandy,,Area 2/MIT,42.3421,-71.07869,Entire home/apt,270,1,2,2022-05-09,1.18,36,346,2,Exempt: This listing is a hotel or motel
46575998,"Stay Tonight, Enjoy All Boston Has To Offer",183914990,Edmund,,Area 2/MIT,42.35481,-71.06329,Entire home/apt,181,29,3,2021-01-31,0.16,9,139,0,STR439290
6882615,"City Living with a View, Newbury St; #4",22348222,Maverick,,Area 2/MIT,42.34979,-71.08263,Entire home/apt,201,1,246,2022-05-31,3.07,84,293,28,STR-445396
7475215,Comfortable & Stylish Studio on Newbury St; #2,22348222,Maverick,,Area 2/MIT,42.34982,-71.08264,Entire home/apt,203,1,181,2022-05-30,2.21,84,329,21,STR-445393
602716508984845813,2 Bed with Work From Anywhere Office & Fast Wifi!,423270067,Harry And Susie,,Area 2/MIT,42.3439,-71.08309,Entire home/apt,616,1,6,2022-06-13,3.21,28,354,6,Exempt: This listing is a unit used for furnished institutional or business stays
38407434,1863 House Bed and  Breakfast M307 Room 2,32532791,Marie,,Area 2/MIT,42.34364,-71.07599,Private room,160,2,30,2022-05-30,0.89,9,36,21,Approved by government
34709924,DELUXE TWO QUEENS,243931054,Boston Park Plaza,,Area 2/MIT,42.35104,-71.0697,Hotel room,400,1,2,2022-03-18,0.07,11,264,1,Exempt: This listing is a hotel or motel
21486679,"Stylish Studio in the Back Bay, on Newbury St; #9",22348222,Maverick,,Area 2/MIT,42.34979,-71.08263,Entire home/apt,237,1,135,2022-05-20,2.52,84,333,15,STR-445401
35682265,Superior 2 Doubles Hearing/Wheelchair ADA w/Tub TT,243931054,Boston Park Plaza,,Area 2/MIT,42.35043,-71.0707,Private room,364,1,27,2022-03-21,1.02,11,239,19,Exempt: This listing is a hotel or motel
16676569,Sunny Apartment in The Heart of Somerville,50851786,Whitney,,Agassiz,42.37972,-71.10648,Private room,55,1,61,2022-05-19,0.92,1,0,13,
17192456,Luxury Loft 3BR Apartment - Close to T,104174476,Cora,,Area 2/MIT,42.349,-71.11012,Entire home/apt,308,7,82,2020-08-17,1.34,2,18,0,
24749244,"Stylish Downtown Studio in the SouthEnd, C.Ave# 24",22348222,Maverick,,Area 2/MIT,42.34448,-71.07636,Entire home/apt,196,1,66,2022-05-22,1.34,84,335,12,STR-441241
612908141225302683,Bright and Modern Luxury Studio,409684302,Justin And Mandy,,Area 2/MIT,42.34092,-71.08013,Entire home/apt,407,14,0,,,36,347,0,Exempt: This listing is a hotel or motel
28360335,"Bright + Open Back Bay 1BR w/ Gym, near the...",107434423,Blueground,,Area 2/MIT,42.34992,-71.06943,Entire home/apt,364,32,1,2019-04-27,0.03,324,30,0,
51084585,Boston beacon hill 3 bed room apt close to all,373675137,Liya,,East Cambridge,42.36179,-71.06675,Entire home/apt,150,29,2,2022-01-22,0.24,41,312,2,
49917068,"Dapper Back Bay Studio, w/ Gym, walk to Newbury...",107434423,Blueground,,Area 2/MIT,42.34863,-71.07409,Entire home/apt,218,32,0,,,324,339,0,
51633385,Spacious 1BR near BCH & BU | Downtown,163251048,Global Luxury,,Area 2/MIT,42.352093,-71.060806,Entire home/apt,434,1,2,2022-02-26,0.45,10,365,2,Exempt: This listing is a unit that has contracts with hospitals
